segment_id,start,end,transcript,asr_confidence
0,4.35,5.59,Just put it on the desktop.,0.7695
1,5.61,6.65,All I see is desktop.,0.5386
2,7.2,11.46,"No, on the desktop you'll find, you should find that there's a project documents link.",0.8293
3,15.63,16.49,"Well, actually just there.",0.6628
4,16.51,17.53,"Project documents, yeah.",0.5813
5,17.55,18.59,"Yeah, that's it.",0.6867
6,18.61,19.47,If you dump it in there.,0.6797
7,19.63,20.33,What's the username?,0.6787
8,21.62,22.14,The username.,0.6485
9,22.72,29.55,What's the username and password?,0.4976
10,34.49,40.22,OK.,0.779
11,41.86,42.96,There we go.,0.5173
12,42.98,43.34,Excellent.,0.946
13,43.4,43.62,Right.,0.509
14,45.61,47.87,Hopefully that's us ready to go.,0.7555
15,48.73,51.2,So functional design meeting.,0.8867
16,51.46,55.06,We'll have to flesh out some of the stuff.,0.8454
17,56.78,58.75,We'll start with the minutes of the last meeting.,0.834
18,59.57,60.89,"Not a lot, thankfully to say.",0.8418
19,61.13,79.36,"We introduced ourselves, discussed the possibility of a macro facility, interacting with the TV a bit more, mentioning of barcode, joystick for user manipulation, and ergonomics of the remote control as well.",0.7998
20,79.34,82.71,It's come to my attention the following.,0.8913
21,83.21,87.14,Teletext has become outdated due to the popularity of the internet.,0.6155
22,88.0,96.45,"Remote control should only be used for the TV, due for a timed market and possibly also cost issues.",0.8108
23,97.65,100.13,Also key is the corporate image to stay recognizable.,0.7631
24,102.94,109.05,Your color and slogan of course is down at the bottom there.,0.8729
25,109.03,129.76,"Just to say quickly, I would have thought that only being used for the television the macro facility may now not be required or its functionality would have been of limited use to the point in my opinion anyway that it might not be worth pursuing.",0.8373
26,131.08,134.87,If anybody disagrees we can definitely say so.,0.8185
27,134.84,139.73,And hopefully we'll just crack on and we'll get everything going.,0.6932
28,140.13,146.63,"I'd like to, if it's possible, hear from our marketing expert first to help us gain an idea of where we're going to go.",0.8084
29,147.48,151.34,So I'll just load up your presentation from here if you want.,0.7548
30,151.36,151.6,Sure.,0.603
31,157.09,159.75,Would you like to start from here?,0.7243
32,160.31,164.21,"Yeah, sure.",0.476
33,166.27,168.39,"Try a second one, maybe.",0.7622
34,175.03,176.3,"Try it, yeah, maybe?",0.5523
35,176.32,177.24,"I'll show you, yeah.",0.4805
36,177.26,178.48,"OK. OK, right?",0.595
37,178.5,180.58,"I'll put up with it in my last game, I guess not.",0.5802
38,181.14,182.58,That's all right.,0.4717
39,183.14,186.07,"OK. Do you want me to cycle through it for you, or?",0.6953
40,186.55,187.49,"Oh, yeah, that would be fine.",0.481
41,187.53,187.97,That'd be great.,0.3883
42,188.13,192.39,"OK. Functional requirement by me, Ebenezer.",0.7845
43,192.69,193.17,Okay.,0.729
44,194.76,197.2,"Okay, so we did some research.",0.8983
45,197.5,201.19,We asked 100 people their opinions on remote controls.,0.8174
46,201.75,203.55,We had some open-ended questions.,0.8144
47,204.71,207.56,Just what are your opinions on the remote control?,0.7701
48,208.0,209.5,Got a lot of responses.,0.643
49,209.48,213.35,And we asked some very specific questions and we got a lot of good feedback.,0.7523
50,213.87,216.29,Please bear in mind this is only 100 people.,0.7632
51,216.95,227.95,"So even when the groups are divided into 15 to 25, 25 to 35, there's only maybe 10 people, 15 people in each group.",0.8294
52,229.48,231.56,"So, we've got some of the best stuff we've got.",0.7703
53,232.21,233.71,Remotes are often lost.,0.901
54,234.55,237.74,"I often lose my remote control over the back of the couch, someplace.",0.8022
55,238.26,242.37,"And even if it's not lost permanently, it takes me a few minutes to find it.",0.8636
56,243.79,245.18,Most buttons are not used anymore.,0.7323
57,245.54,248.16,"Like you said, TeleTex is outdated now.",0.8941
58,248.14,253.18,"I remember trying to load a DVD player recently, and there were so many buttons.",0.674
59,253.66,261.05,"It took me, I don't know, maybe 10 minutes to go through each button, because you have to press the Shift button to access the yellow buttons.",0.8066
60,261.09,263.34,"You know, it's just a lot of stuff that no one really uses.",0.7621
61,263.74,265.44,"And if they do, not very often.",0.9374
62,266.86,268.44,It takes too long to master the remote control.,0.6739
63,269.48,271.61,I've seen some remote controls that are big.,0.832
64,271.63,272.71,They have a lot of buttons.,0.6037
65,273.31,276.42,You have to hold down more than one key at one time to do something.,0.8154
66,276.44,278.32,They're just not great to use.,0.8315
67,278.66,281.17,We just got a lot of bad complaints about remote controls.,0.8492
68,281.49,283.37,People do not like remote controls.,0.918
69,284.25,285.58,Some of the good stuff we got.,0.7141
70,285.56,294.05,"Between the age of 15 and 25, most people will be willing to pay extra for voice recognition software.",0.7812
71,294.35,295.73,I don't get excited yet.,0.8234
72,295.83,297.79,I've got more to say on that.,0.8537
73,297.81,299.43,Most people will be willing to pay for that.,0.7422
74,299.63,302.36,Most people want remote controls to be pretty.,0.8317
75,302.8,304.08,They want it to be fancy.,0.7427
76,305.46,306.82,They want it to be different.,0.7475
77,306.88,312.05,Everybody has a white remote control with black buttons and a red button and a green button.,0.8721
78,312.43,314.53,Not everybody wants that.,0.921
79,314.51,317.54,"Finally, my opinion.",0.814
80,318.26,320.04,The voice recognition thing is cool.,0.8138
81,321.02,324.45,"And voice recognition, the software, open source software exists already.",0.7543
82,325.55,327.35,It's a bit sketchy at some times.,0.8509
83,327.86,330.58,"You're not going to get good, always accurate results.",0.7249
84,330.68,335.91,"But for a very fixed number of words, how many different words can you have for remote control?",0.8943
85,336.43,340.37,"Up, down, left, right, channel five, channel seven.",0.8721
86,340.43,342.02,You can't have that many words.,0.8162
87,342.36,345.48,"For a fixed vocabulary, it works quite well.",0.7635
88,345.46,346.86,I'm pretty sure people will buy it.,0.803
89,347.5,349.51,"But after a while, people may want to return it.",0.905
90,350.09,356.58,"Because if you have to say, I mean, most people use the remote control for switching to channels.",0.8013
91,357.24,362.25,"And they say they do that about 98% of the time using the remote control, 98% of the time for changing channels.",0.7295
92,362.55,364.05,And that's for flickering through channels.,0.8208
93,364.55,374.54,"So if you have to say, up, up, up, up, if you have to do that all the time, then people might get a bit fed up with that and they may return it.",0.8255
94,374.52,382.8,"However, because the voice recognition software exists already, there's no need to spend money on research and development.",0.768
95,383.46,390.94,"But this doesn't mean the need for microphones in the remote control, which is an unusual feature in my opinion.",0.8524
96,390.92,396.53,"But if we do have the voice recognition thing, there's a lot of stuff that you can get rid of.",0.8331
97,397.71,399.03,"See, there are two options.",0.7298
98,399.07,403.81,"Even if you have voice recognition by itself, which I think is a bit impractical for nighttime.",0.7475
99,403.89,410.96,"If you want to be watching television, you want to be quiet, or I don't know, you have a visitor come around and the remote is only trained for you.",0.6778
100,411.22,414.23,It's a bit impractical to have just voice recognition by itself.,0.6973
101,414.25,417.81,So you can have voice recognition and a regular remote.,0.7831
102,417.79,420.01,But imagine you got rid of the regular remote part.,0.823
103,420.77,428.8,Then you can design the remote to look any way you want it to look because there are no restrictions on physical size or shape.,0.8216
104,429.46,431.61,It could be as fancy as you want it to be.,0.7757
105,431.79,434.71,"It could be like a lollipop, something weird like that.",0.8253
