segment_id,start,end,transcript,asr_confidence
0,0.03,15.49,I'll wait until you're all picked up.,0.2149
1,15.51,19.9,"Oh, good grief.",0.177
2,47.42,50.61,He's been poked in his cup.,0.5015
3,78.08,81.41,Welcome back everybody.,0.8853
4,81.43,83.73,I hope you've had fun.,0.7214
5,83.79,85.82,Right.,0.9
6,86.64,88.67,This is our conceptual design meeting.,0.838
7,89.85,94.6,I think we're slightly ahead of ourselves.,0.8631
8,94.73,95.75,from the last meeting.,0.874
9,96.16,98.24,"Yeah, I was getting the impression as well.",0.4925
10,98.26,98.9,"I think, yeah.",0.792
11,101.1,111.53,"This is where we talk about properties, materials, user interface, and trend watching.",0.8284
12,112.85,121.26,"So I think we've touched on a few things to that already, but we'll just go over it.",0.8633
13,122.95,133.72,"The minutes from last time, we had a couple of changes in our plans in that we couldn't use teletext.",0.8192
14,133.78,136.18,It wasn't going to be a control for everything.,0.8193
15,137.1,143.57,And that we had to incorporate the image of the company into it somehow.,0.8911
16,143.55,150.72,We have decided on leaving out the voice recognition.,0.8296
17,151.68,159.57,We've decided on there being a flip design and a different shape from what's normal.,0.8469
18,160.52,164.22,"We were thinking a shell, but something along those lines, just a different shape from what's normal.",0.7143
19,169.11,172.19,You were going to look into the rechargeable batteries.,0.8624
20,172.29,172.75,Yep.,0.516
21,173.49,178.82,And we're going to think about the port and alarm for getting it lost and things like that.,0.7026
22,179.7,187.63,And our market was going to be young business kind of range.,0.7964
23,188.76,191.3,"OK, so should we start with the first presentation?",0.698
24,191.32,192.0,Shall I?,0.3745
25,192.02,193.32,"Yes, if you feel.",0.4123
26,193.34,194.42,We'll just connect up.,0.6877
27,201.24,201.56,Thank you.,0.392
28,218.9,227.12,"Okay, so we decided on our market and so this feedback from the marketing department is really about trend watching.",0.8674
29,228.42,232.56,The methods we use to decide on,0.867
30,234.59,236.46,"current trends and so on, market trends.",0.8593
31,237.04,250.15,"We did our usual market research study with our hundred subjects and the general feedback from them is that the most, I'm sorry, I'm slightly tongue tied after lunch, sorry.",0.8262
32,251.46,256.58,We decided on the most important aspect required in a remote control device and we'll come to that later.,0.8383
33,256.62,258.1,So that was one of the first things we did.,0.8737
34,258.08,268.68,"Also, with our company being forerunners in putting fashion into technology, we also looked at a fashion update using our consultants on fashion and design in Paris and Milan.",0.8607
35,270.84,278.47,"So the general findings from that was in the market trends, the most important aspects for remote controls were",0.8941
36,278.45,285.14,People want a fancy look and feel rather than the current functional look and feel of remote controls.,0.8522
37,286.04,293.83,They also want a remote control to be technologically innovative and of course as we predicted that it should be easy to use.,0.7911
38,294.27,299.8,"Now I should point out that the first of those findings, fancy look and feel, is the most important.",0.8376
39,299.82,306.75,It's twice as important as the second technologically innovative which is in turn twice as important as being easy to use.,0.808
40,306.73,311.32,So possibly that the feature that we put first is actually third.,0.8193
41,311.38,316.26,It's still important but it's third in order of preference for the subject group we looked at.,0.7939
42,317.08,317.54,Okay.,0.648
43,317.56,323.92,Now the fashion update which relates to very personal preferences among our subject group,0.7836
44,323.9,334.72,"We found from our consultants in Paris and Milan who attended all the design and fashion fairs then that fruit and vegetables are going to be the theme for clothes, shoes and furniture.",0.8445
45,335.12,339.69,So should we be thinking of using something like that in our remote control design too?,0.8188
46,339.67,346.92,There also seems to be a trend towards a spongy feel to materials again in contrast to last year.,0.8363
47,347.94,353.73,"So a lot of interesting feedback, they're both from our market research departments and from our people in Paris and Milan.",0.7016
48,354.17,357.5,It would be interesting to see what our design people make of that.,0.664
49,357.54,358.48,"Okay, thank you very much.",0.7372
50,361.62,364.25,Let's start from the inside and work our way out.,0.8231
51,364.23,365.53,"Yeah, okay.",0.2765
52,365.55,367.85,"Unless anyone has any questions about that, not yet.",0.7553
53,372.18,383.38,"Yes, thank you.",0.4503
54,388.51,404.6,"I hate those little things, especially if you do them on too tight and you can't get the leverage on them to undo them.",0.6671
55,410.84,411.2,OK.,0.767
56,412.52,420.41,This is all about the design of the entry components and the availability of the components we have in stock at the moment.,0.8419
57,422.67,435.37,"OK. First, into the method, the main idea of the whole thing is just so you just press buttons and it should activate things on the TV.",0.8023
58,435.53,438.95,And we discussed last meeting that it should be easy to find.,0.7123
59,438.93,450.5,Also in this study I've looked into the availability of some of the materials because some of the things that we looked at last time unfortunately aren't available.,0.7858
60,453.54,455.73,"Findings, I've got my nice little picture there.",0.8722
61,455.71,473.6,This is the chip called the TA-11835 which is what's used in pretty much every remote control because it sends out standard signals based on your input and it's pretty much used for all TV remotes at the moment.,0.8418
62,475.94,479.81,And then we're looking into battery options.,0.8303
63,479.79,484.17,There's actually no rechargeable option available.,0.8103
64,484.69,493.52,"So I saw the standard AA and AAA, which we thought were a bit too bulky at the moment.",0.8185
65,493.8,498.65,"Dynamo charging, I thought that might be a bit silly to be honest.",0.8247
66,498.81,501.59,It's basically like wind up radio.,0.9085
67,502.31,504.92,So you wind up your remote control before you use it.,0.7338
68,504.9,508.06,How long can you get out of that?,0.8135
69,508.28,512.23,Can you pick it up and then wind it for two minutes and then that's it for the night?,0.8537
70,512.83,527.36,"Yeah, I presume you wouldn't have to wind it for very long but I don't think it's really necessary when you think of the next two options like the solar charging",0.8218
71,527.34,532.39,"Because most people have the light on in the room anyway, so they could get when you've got PV.",0.7667
72,532.57,534.36,Does the light charge as sunlight does?,0.488
73,535.0,537.32,Artificial light?,0.496
74,537.34,537.56,No.,0.606
75,537.58,538.09,Is it?,0.721
76,538.11,538.89,"Oh, right.",0.416
77,539.14,545.95,"Regarding the sizes, which one you think will be like because we have to take into consideration size also.",0.7209
78,546.11,551.52,So maybe it's standard triple A might take less space and dynamo might take more space.,0.6789
79,551.54,552.64,"Yeah, it would.",0.466
80,553.06,557.15,The dynamo would take more space because you'd actually need a physical sort of handle to wind up.,0.5951
81,557.17,559.83,I'm pretty sure that solar is from the sun.,0.8147
82,559.85,560.11,Yeah.,0.689
83,560.84,563.76,I don't think it counts.,0.7954
84,563.74,568.41,"But I mean, you don't want to limit your market.",0.8287
85,568.43,571.16,"I mean, people who live in basement flats, there's not that many people.",0.8424
86,571.26,572.92,"I know, different parts of the world.",0.5796
87,573.68,575.23,If we're for marketing internationally.,0.8166
88,575.31,580.5,"Yeah, and most people also watch TV in the night anyway.",0.7324
89,580.57,582.75,But then it would be charging through the day.,0.8648
90,582.77,587.17,I think the point is it charges through the day and then you've got it charged.,0.8224
91,587.49,590.66,I think the next one's the best anyway.,0.8394
92,591.08,598.3,The kinetic charging which is like you get it in wristwatches and you don't even notice it.,0.7547
93,598.46,603.73,I mean the amount of probably moving around you'd be doing all the time would charge it up.,0.7879
94,603.99,608.07,I don't think you'd ever need to actually physically start shaking it up to make it work.,0.8113
95,608.51,611.62,And what is the life of the kinetic battery?,0.6816
96,611.72,613.86,It runs for a long time?,0.6878
97,614.2,614.82,Yeah.,0.622
98,615.48,621.71,"It charges into some form of a smaller cell, which it charges into.",0.8616
99,621.75,628.36,"And the size of a watch battery, because they use them quite frequently in watches.",0.6877
100,628.9,634.87,"And that would last for,",0.8434
101,634.85,639.36,"Well, I'm not entirely sure how long it would last, but I've never seen one run out.",0.782
102,640.08,644.92,"But then if you think about watch, it's on your wrist, so it's on your whole body, it's on your body the whole time.",0.8797
103,645.22,645.48,Yeah.,0.681
104,646.02,648.08,"So you're walking around, you're doing things.",0.8207
105,648.14,649.68,It is moving a lot of the time.,0.8539
106,649.99,650.57,Yeah.,0.733
107,650.93,655.43,"I mean, you switch the TV on, then you put it on the side, then you pick it up to change it, and then you put it on the side.",0.6977
108,655.45,664.86,"Yeah, but then again, I think it is because if you think about it, the watch, although it's only a tiny amount, it's",0.7598
109,664.84,672.39,"It's always moving for the whole day, and they don't run out overnight when you leave them on the side.",0.865
110,673.51,681.48,"And for the same reason, you're only using it for an incredibly short amount of time just to send the signal, and then you're finished with it.",0.8585
111,681.92,683.46,"So it's not the draw on it, is it?",0.3092
112,683.48,686.85,"No, no, I don't think the draw on it would be.",0.5297
113,686.83,691.32,"Referring back to solar charging, is that compatible with standard batteries?",0.8444
114,691.4,697.26,"I mean, could people put standard batteries in but, you know, they could leave it in the sunlight for solar charging or the two things not compatible?",0.79
115,697.78,705.85,"Yeah, I think you could have a dual power thing, but the thing with the solar cells is you would need to put them on the case.",0.795
116,707.01,715.61,"Because on a calculator, they're quite big and they all look identical.",0.7781
117,715.67,717.91,So that affects the exterior design?,0.4052
118,717.97,718.82,Expensive as well.,0.4417
119,718.84,720.06,What kind of price are we looking at?,0.1836
120,720.04,723.06,I presume that normal batteries are the cheapest.,0.4203
121,723.08,725.04,"Yeah, the normal batteries would be the cheapest.",0.704
122,725.24,728.87,I'd presume that then it would actually be the solar charging ones.,0.7715
123,729.89,737.44,But I think they're not very resistant to dropping.,0.8719
124,737.96,743.99,"Because if you drop stuff, yeah, if you have the size you'd need to charge a remote, it wouldn't be that big.",0.8245
125,744.05,748.9,"But I mean, if remotes always get thrown around and stuff.",0.8332
126,748.88,751.8,"I think, yeah, practically.",0.7695
127,751.82,758.5,"I mean, calculators you don't really throw around a lot, whereas remotes you do.",0.7832
128,759.18,760.52,They can turn.,0.6057
129,760.6,762.72,"Yeah, they do.",0.6437
130,763.06,767.17,"They've got dual things, but the batteries are smaller I think.",0.8178
131,767.15,771.7,"And the question is, which one would last the longest?",0.6846
132,771.74,776.87,Because we don't want customers to be charging a mobile phone every day or remote control.,0.6009
133,777.04,779.39,So we just look at the life also.,0.7622
134,779.77,791.4,"Yeah, if you had something using the standard batteries and the solar charging, I don't think you'd",0.7744
135,791.38,796.93,"I think that it would, well, you know how long the standard double A's would last in or triple A's would last.",0.6141
136,796.99,799.47,It would just attract from the attractiveness of the whole feature.,0.591
137,799.51,800.91,"Yeah, I think it would.",0.5422
138,801.42,806.24,"Okay, can we add in an attachment to clothing feature?",0.8768
139,807.88,807.98,Okay.,0.0
140,808.0,809.02,Can we think about that?,0.8394
141,809.81,811.25,Because if we're doing the kinetic thing.,0.7777
142,811.85,812.39,Yeah.,0.738
143,812.43,815.53,Shouldn't we do some market research on that first before we add it in?,0.7789
144,815.59,817.55,We'll add it in to think about.,0.6369
145,817.77,819.2,"Right, okay.",0.8385
146,821.86,824.22,"because, where am I?",0.851
147,825.23,839.64,"If it is the kinetic thing and it is small and it is portable and it is a different shape and the kinetic is something people don't do, kind of, we're doing something original and different.",0.7955
148,840.15,848.36,"But if you wore it, if it's something you could just clip on your pocket, then you would have that less, you wouldn't lose it so much.",0.77
149,848.34,857.23,But then maybe that's looking at someone who's just sitting on their own rather than the eternal battle for control of the control.,0.7618
150,857.25,862.02,It's not something that's come up in any of our focus groups and market research.,0.8511
151,862.08,866.47,"It's not a thing that people are looking for when we throw open to the field, yeah.",0.6909
152,868.11,870.29,But it's something to put on the side to think about maybe.,0.7976
153,871.61,875.15,"Okay, well I'll move on.",0.6502
154,875.22,888.94,"My second part of my findings, the most current remotes use this silicon PCB board which printed circuit board.",0.8818
155,888.92,917.78,which basically has these contacts that are really close together and then when you press down on the rubber button it'll connect the circuit and each switch is connected to two different legs on the chip and so sends a different message and that then gets translated by the chip into a code and then it's fired out of this LED in a sequence of on and off bursts,0.8277
156,918.15,920.09,What kind of things do we have to consider there?,0.803
157,921.45,925.54,Does it come in varying sizes or is it just one size?,0.7904
158,926.1,937.56,The thing about it is they can be as big or as small as you want them to be because you can print a circuit board like that.,0.814
159,938.24,943.35,It's simply spaced like that so you can fit the size of the nine buttons in.,0.7999
160,943.33,953.56,"If you see how thin the tracks are, you could put them virtually right next to each other and have a much smaller switch on each one if you wanted to.",0.8179
161,954.63,968.93,"But there is an option to do it like that, or you could have some sort of array of switches which I'll speak about in the next bit.",0.8618
162,968.91,976.32,"And then to conserve battery life, the remote should be in a standby mode while not being used.",0.7094
163,976.72,984.33,"And what I was thinking about that was because sometimes when you have these things, they've got little lights on behind the buttons.",0.7834
164,984.81,987.46,So you can see what all the buttons are like on a mobile phone.,0.8145
165,987.48,990.56,They do it more often than on a mobile phone.,0.5761
166,990.54,1002.94,than on a TV remote but you could have lights behind the buttons and after like 5 or 10 seconds of not being used I'd have that turned off if we decided to go for buttons that could light up.,0.8336
167,1005.85,1014.14,"The case material, I've been sent what the factory can actually give us.",0.8742
168,1014.12,1032.31,"there's the plastic which I think we were going to go for anyway as the main case housing and the main problems with the, well you could go for wood but I think it would be a bit impractical",0.8219
169,1032.29,1061.35,titanium very expensive just the process which to make it is expensive and rubber well you're saying that people like this spongy feel this year so perhaps something made of rubber but I was thinking more of the buttons because the buttons which they've said that they've put across,0.8516
170,1061.33,1069.11,are what is used in some stressful manufacture and it's meant to be anti-RSI.,0.7691
171,1070.05,1078.6,I'm not sure how that would work because surely your fingers would still be moving over the short distances but that's what they said.,0.8694
172,1080.18,1085.97,The problem with the casing is that there's,0.8142
173,1085.95,1094.15,There's quite a few design restrictions that they've got on the shape of the case.,0.8791
174,1094.29,1097.52,"If you go for titanium, they can only do a standard box shape.",0.8345
175,1098.28,1104.59,"Whereas if you come to plastic, they can be a little more, they can do sort of curved shapes.",0.8701
