segment_id,start,end,speaker_id,transcript,asr_confidence
0,0.0,3.0,SPEAKER_00,"Okay, well, I think we're",0.7815
1,1.5,4.5,SPEAKER_00,"Okay, well, I think we're ready to begin.",0.6877
2,3.0,6.0,SPEAKER_00,ready to begin. Right.,0.6877
3,4.5,7.5,SPEAKER_00,Right. My name's Adam Dugard.,0.632
4,6.0,9.0,SPEAKER_00,My name's Adam Dugard. We're here because of real reaction.,0.7098
5,7.5,10.5,SPEAKER_00,We're here because of real reaction.,0.7676
6,9.0,12.0,SPEAKER_00,We have in the,0.872
7,10.5,13.5,SPEAKER_00,We have in the group.,0.8786
8,13.5,16.5,SPEAKER_01,"Ebenezer, I demonstrate. Would you like me to",0.5149
9,15.0,18.0,SPEAKER_01,demonstrate. Would you like me to support it?,0.5149
10,16.5,19.5,SPEAKER_01,"support it? Yeah,",0.467
11,18.0,21.0,SPEAKER_01,"Yeah, go for it,",0.59
12,19.5,22.5,SPEAKER_01,"go for it, mate. NEZ.",0.63
13,21.0,24.0,SPEAKER_01,mate. NEZ. NEZ. ER.,0.6422
14,22.5,25.5,SPEAKER_01,"NEZ. ER. Ebenezer, and",0.6762
15,24.0,27.0,SPEAKER_01,"Ebenezer, and your role is? I'm",0.7901
16,25.5,28.5,SPEAKER_01,your role is? I'm the marketing expert.,0.7901
17,27.0,30.0,SPEAKER_01,the marketing expert. You're the marketing expert.,0.676
18,28.5,31.5,SPEAKER_01,You're the marketing expert. Okay.,0.676
19,33.0,36.0,SPEAKER_00,"Next we have Tara Grammar,",0.6792
20,34.5,37.5,SPEAKER_00,"have Tara Grammar, T-A-R-I-K. T-R-I-K. And your",0.6792
21,36.0,39.0,SPEAKER_00,T-A-R-I-K. T-R-I-K. And your role in this,0.6792
22,37.5,40.5,SPEAKER_00,role in this is? Industrial,0.7421
23,39.0,42.0,SPEAKER_00,is? Industrial designer. Industrial designer.,0.7551
24,40.5,43.5,SPEAKER_00,designer. Industrial designer.,0.793
25,46.5,49.5,SPEAKER_00,And lastly we,0.843
26,48.0,51.0,SPEAKER_00,And lastly we have Dave Cochran.,0.843
27,49.5,52.5,SPEAKER_00,have Dave Cochran.,0.843
28,52.5,55.5,SPEAKER_00,And you're going to be the,0.6911
29,54.0,57.0,SPEAKER_00,going to be the user interface designer.,0.6911
30,55.5,58.5,SPEAKER_00,user interface designer.,0.6911
31,60.0,63.0,SPEAKER_00,"Right, this is",0.7471
32,61.5,64.5,SPEAKER_00,"Right, this is the agenda for today's meeting.",0.7471
33,63.0,66.0,SPEAKER_00,"the agenda for today's meeting. As you can see,",0.7154
34,64.5,67.5,SPEAKER_00,"As you can see, we're opening, acquaintance, toll training,",0.7154
35,66.0,69.0,SPEAKER_00,"we're opening, acquaintance, toll training, project plan, discussion, and",0.6837
36,67.5,70.5,SPEAKER_00,"project plan, discussion, and closing.",0.6837
37,70.5,73.5,SPEAKER_00,We've already gone through opening and,0.7649
