meeting_id,segment_id,AU01,AU02,AU04,AU06,AU12,AU15,AU17,AU25,head_pitch,head_yaw,head_roll,gaze_x,gaze_y
ES2003c,0,0.665860633055369,0.370171199242274,0.6132278641064962,0.1455903798341751,0.1514442414045334,0.41094131271044415,0.6100649833679199,0.5590820467720429,-12.802916405243996,41.380454775678515,-14.780582984338778,0.0,0.0
ES2003c,1,0.6698227922121683,0.42291294535001117,0.4661431511243184,0.2540864298741023,0.19623350103696188,0.2604223241408666,0.321338747938474,0.9196613828341166,49.55165770239277,64.54473732443775,51.84276785238139,0.0,0.0
ES2003c,2,0.5904466311136881,0.30881650745868683,0.3802039871613185,0.3863312602043152,0.18859566251436868,0.5210051039854685,0.3498261074225108,0.9927950898806254,15.237597675482547,81.05972500777722,18.128387330274894,0.0,0.0
ES2003c,3,0.562244196732839,0.3765307664871216,0.32572823266188305,0.2664075543483098,0.2946550101041794,0.4026451110839844,0.4633164207140605,0.9769168297449747,-14.019921907112945,73.37266648608284,-12.120839949093506,0.0,0.0
ES2003c,4,0.5307149291038513,0.30949637293815613,0.24428284168243408,0.19218749304612479,0.09099794179201126,0.5448908507823944,0.5485906302928925,0.6484660767018795,-38.18070691538636,38.38306232106442,-37.25490868628737,0.0,0.0
ES2003c,5,0.5928987463315328,0.48070823152860004,0.3893116960922877,0.07133843377232552,0.029821534951527912,0.40444334348042804,0.4912041624387105,0.13599430645505586,-5.743086620037946,-2.8399135846317516,-13.666745426553534,0.0,0.0
ES2003c,6,0.6590182781219482,0.42421568433443707,0.5815922617912292,0.120234581331412,0.13461020154257616,0.21344470977783203,0.45511581500371295,0.25682675652205944,-7.4759309484198075,19.103707300492605,-14.269621264869171,0.0,0.0
ES2003c,7,0.5912928382555643,0.39847565690676373,0.4032837947209676,0.24902703364690146,0.17073808858791986,0.42888520161310834,0.4589257637659709,0.7829323609670004,-39.03393042156184,55.41899401165822,-41.95970371095334,0.0,0.0
ES2003c,8,0.49291125933329266,0.2935230880975723,0.23588319371143976,0.26508598029613495,0.12875707199176153,0.21483427782853445,0.5255341033140818,0.4837811241547267,-48.430416206798135,67.73885217594677,-44.822310330718985,0.0,0.0
ES2003c,9,0.42957786719004315,0.19383606066306433,0.3305610467990239,0.23521733283996582,0.10853583365678787,0.5590424537658691,0.6284236907958984,0.3844229377185305,-29.916913545962704,66.56698192529866,-22.628238385774125,0.0,0.0
ES2003c,10,0.4303780694802602,0.18479026854038239,0.4492566188176473,0.16294543196757635,0.05118377134203911,0.5078821877638499,0.5771492520968119,0.5586710323890051,-30.082174169112008,65.94980904839734,-23.36222342407292,0.0,0.0
ES2003c,11,0.31902273495992023,0.2001569370428721,0.3039778023958206,0.13184734185536703,0.07850466668605804,0.1578944524129232,0.3512209753195445,0.40260112285614014,-18.80831746903662,34.27766367232419,-18.61474420498524,0.0,0.0
ES2003c,12,0.3605967660744985,0.27131007611751556,0.27636902530988056,0.06812197715044022,0.02972874479989211,0.27193139990170795,0.29008880257606506,0.13850255807240805,0.5623523409805588,-8.67141680688477,-1.91827066516723,0.0,0.0
ES2003c,13,0.5525699555873871,0.3172568927208583,0.4141203860441844,0.10110870003700256,0.054283556838830314,0.4863537549972534,0.4044586221377055,0.2461825329810381,1.304681975672119,-17.227408136463783,-2.077764014116958,0.0,0.0
ES2003c,14,0.6352139314015707,0.2803725153207779,0.46467264493306476,0.10222964733839035,0.03392229353388151,0.4241822858651479,0.48457955320676166,0.2906282553449273,5.344819239012883,3.8285569535336244,-4.8749188599625635,0.0,0.0
