annotation_id,meeting_id,segment_id,final_score,baseline_score
1,ES2002d,672,0.410776,0.35312
2,ES2003c,283,0.463517,0.125341
3,ES2003d,415,0.225693,0.23187500000000003
4,ES2002d,1124,0.019951,0.038218499999999996
5,ES2003d,1047,0.690579,0.1022015
6,ES2004b,858,0.300305,0.063512
7,ES2003b,1101,0.108452,0.15197300000000002
8,ES2004a,81,0.139939,0.24430400000000002
9,ES2004d,672,0.056423,0.05646849999999999
10,ES2003d,724,0.15658,0.0774675
11,ES2004d,4,0.490917,0.24319149999999998
12,ES2003b,925,0.011232,0.006807499999999999
13,ES2002c,678,0.466913,0.5309159999999999
14,ES2002b,59,0.049964,0.066402
15,ES2004c,387,0.1283,0.09963149999999998
16,ES2002a,161,0.492151,0.43556399999999995
17,ES2004b,104,0.355742,0.0290515
18,ES2002d,754,0.619089,0.47633349999999997
19,ES2003a,313,0.242504,0.238928
20,ES2004b,27,0.169481,0.209022
21,ES2004c,915,0.01425,0.024776
22,ES2002d,523,0.182033,0.2412325
23,ES2004b,847,0.335601,0.2213345
24,ES2004b,475,0.730762,0.48188699999999995
25,ES2004b,646,0.159483,0.08307099999999999
26,ES2002c,477,0.026273,0.136791
27,ES2003c,853,0.303742,0.32825899999999997
28,ES2002c,83,0.55296,0.010489500000000002
29,ES2003b,1085,0.138205,0.1314725
30,ES2004b,314,0.351667,0.2708935
31,ES2002b,448,0.00411,0.004285499999999999
32,ES2002d,824,0.125041,0.15403750000000002
33,ES2002a,389,0.034196,0.05527
34,ES2002c,456,0.011483,0.0213865
35,ES2004c,950,0.500338,0.19004000000000001
36,ES2003c,265,0.196279,0.2813625
37,ES2002c,134,0.056871,0.07705899999999999
38,ES2004c,494,0.03637,0.035969
39,ES2002b,1138,0.054151,0.075767
40,ES2003d,600,0.051033,0.122999
41,ES2002d,833,0.001513,0.023905500000000003
42,ES2004b,122,0.010725,0.0203005
43,ES2002c,939,0.601175,0.465968
44,ES2004b,1029,0.018642,0.014171
45,ES2002b,592,0.012018,0.024046500000000002
46,ES2003c,1130,0.056586,0.06230449999999996
47,ES2004d,720,0.510771,0.33547499999999997
48,ES2004d,346,0.47018,0.2984875
49,ES2003c,518,0.112585,0.021113000000000003
50,ES2004d,28,0.591973,0.38958600000000004
51,ES2003b,275,0.117921,0.1503035
52,ES2002c,30,0.272688,0.34788399999999997
53,ES2002b,779,0.343528,0.28957900000000003
54,ES2002c,802,0.022794,0.032875
55,ES2003b,289,0.444635,0.3923795
56,ES2002d,21,0.379517,0.4250145
57,ES2003c,629,0.061449,0.0641985
58,ES2002b,168,0.01935,0.0411905
59,ES2002d,365,0.227823,0.2434635
60,ES2002c,403,0.016647,0.026826
61,ES2003b,903,0.328302,0.18463999999999997
62,ES2004d,633,0.007871,0.015372499999999999
63,ES2003d,595,0.012297,0.009684499999999999
64,ES2004d,91,0.1457,0.23263350000000002
65,ES2004b,136,0.127978,0.017243
66,ES2003c,357,0.084615,0.11002650000000001
67,ES2003b,135,0.022894,0.048806
68,ES2003c,32,0.344534,0.3258205
69,ES2004a,290,0.001926,0.0082345
70,ES2002b,500,0.210016,0.201026
71,ES2003d,686,0.188678,0.308614
72,ES2002b,722,0.273315,0.27127599999999996
73,ES2004a,198,0.397203,0.08886350000000001
74,ES2002c,1183,0.188898,0.21377050000000003
75,ES2002c,1103,0.147162,0.10605099999999999
76,ES2002a,137,0.685072,0.4681695
77,ES2004c,1031,0.005442,0.007130500000000001
78,ES2002d,139,0.006605,0.015870000000000002
79,ES2003c,550,0.024695,0.0328335
80,ES2002b,1102,0.395823,0.3621915
81,ES2003b,219,0.286338,0.2904575
82,ES2002b,311,0.160091,0.1403725
83,ES2002b,949,0.090253,0.115393
84,ES2002a,417,0.234749,0.271328
85,ES2004d,281,0.003261,0.00014549999999999893
86,ES2002b,398,0.101507,0.06658449999999999
87,ES2002b,157,0.292149,0.320677
88,ES2003d,1105,0.042272,0.06522549999999999
89,ES2004c,119,0.053203,0.0558855
90,ES2003c,410,0.036972,0.06984249999999999
91,ES2002c,1063,0.21679,0.2764495
92,ES2003a,202,0.118879,0.14106950000000001
93,ES2003c,242,0.064974,0.02744
94,ES2004a,338,0.350894,0.339196
95,ES2002a,241,0.053981,0.08074999999999999
96,ES2002a,355,0.051998,0.0912695
97,ES2002d,694,0.22951,0.23616299999999998
98,ES2002d,425,0.183369,0.24585349999999997
99,ES2004b,540,0.314215,0.044600999999999995
100,ES2003b,1188,0.032055,0.061449000000000004
101,ES2002b,707,0.404243,0.21572750000000002
102,ES2002b,538,0.009994,0.014971499999999999
103,ES2002b,166,0.064686,0.023874
104,ES2002d,723,0.232013,0.27944250000000004
105,ES2002b,1,0.517507,0.323609
106,ES2004b,1199,0.499418,0.163041
107,ES2002d,116,0.14492,0.2484645
108,ES2003b,807,0.01162,0.0278165
109,ES2004b,1036,0.147694,0.022003500000000002
110,ES2002b,996,0.006689,0.010629
111,ES2004d,233,0.165214,0.180402
112,ES2002c,1260,0.408837,0.39397249999999995
113,ES2004b,128,0.043598,0.026887499999999998
114,ES2002d,1019,0.503993,0.39848799999999995
115,ES2004c,866,0.505015,0.269342
116,ES2002c,655,0.16558,0.180296
117,ES2004d,229,0.153183,0.035758000000000005
118,ES2004b,993,0.423699,0.3242735
119,ES2003c,1175,0.247896,0.278144
120,ES2004b,1189,0.538568,0.053415
121,ES2002a,409,0.093662,0.08356050000000001
122,ES2004d,57,0.214195,0.14822200000000002
123,ES2004b,419,0.136771,0.051415999999999996
124,ES2003d,758,0.105611,0.046859500000000005
125,ES2003b,327,0.108484,0.0905675
126,ES2004a,29,0.446389,0.1303675
127,ES2004c,353,0.03181,0.045894
128,ES2003c,275,0.285188,0.0724825
129,ES2003a,428,0.115896,0.163495
130,ES2002b,851,0.330641,0.3573265
131,ES2002d,452,0.19305,0.201222
132,ES2003a,238,0.253719,0.268811
133,ES2003b,240,0.171231,0.22196
134,ES2002b,40,0.196316,0.2112065
135,ES2002b,972,0.305939,0.33779699999999996
136,ES2004c,196,0.489609,0.230907
137,ES2004c,902,0.123331,0.18272549999999999
138,ES2004d,959,0.20422,0.441784
139,ES2003b,41,0.161935,0.17247549999999998
140,ES2004b,1101,0.025153,0.041379
141,ES2004d,566,0.10592,0.127477
142,ES2002b,624,0.109798,0.12663899999999997
143,ES2002a,188,0.201778,0.297377
144,ES2004c,477,0.294171,0.031457
145,ES2002b,310,0.377373,0.19081250000000002
146,ES2002b,14,0.38775,0.374272
147,ES2002c,1018,0.137656,0.1929885
148,ES2004b,400,0.026306,0.087685
149,ES2002d,101,0.032749,0.058172999999999996
150,ES2004a,181,0.092673,0.17079499999999997
151,ES2004c,1197,0.340057,0.261602
152,ES2004b,1193,0.140606,0.026013500000000002
153,ES2004c,59,0.335491,0.17128949999999998
154,ES2004a,143,0.207078,0.221002
155,ES2002d,994,0.402161,0.3797845
156,ES2003d,2,0.305619,0.37770800000000004
157,ES2002c,1129,0.422751,0.3796
158,ES2003d,163,0.012857,0.06296000000000002
159,ES2003c,192,0.170246,0.0841435
160,ES2003c,940,0.042217,0.039345
161,ES2004a,46,0.614875,0.033468
162,ES2002c,741,0.180555,0.20405099999999998
163,ES2004c,33,0.055678,0.0216315
164,ES2002d,1044,0.083136,0.12076550000000001
165,ES2004a,91,0.037747,0.056906
166,ES2004d,430,0.248192,0.2099365
167,ES2004a,246,0.36257,0.0787695
168,ES2004c,1183,0.452204,0.3399945
169,ES2003c,255,0.267433,0.24375549999999999
170,ES2002d,201,0.080844,0.09444949999999999
171,ES2004d,512,0.014788,0.057042999999999996
172,ES2004b,538,0.465543,0.40956400000000004
173,ES2002b,942,0.320498,0.354198
174,ES2003c,792,0.024987,0.0436905
175,ES2003d,11,0.050938,0.010662500000000002
176,ES2002d,596,0.451336,0.415995
177,ES2003c,742,0.13277,0.09202450000000001
178,ES2004b,827,0.032586,0.0574095
179,ES2004d,301,0.538254,0.41689699999999996
180,ES2004c,32,0.238514,0.0592515
181,ES2004c,162,0.433914,0.4708425
182,ES2002a,236,0.084647,0.1072175
183,ES2003a,340,0.303139,0.32988500000000004
184,ES2003c,1140,0.337289,0.3762285
185,ES2003d,818,0.213022,0.246314
186,ES2003b,553,0.520607,0.44117249999999997
187,ES2004b,878,0.350465,0.13334500000000002
188,ES2003a,253,0.177091,0.155135
189,ES2003b,63,0.046127,0.0373485
190,ES2004d,392,0.008942,0.014219
191,ES2004d,913,0.089276,0.018226499999999996
192,ES2002d,586,0.185314,0.209477
193,ES2004b,167,0.305101,0.029497000000000002
194,ES2004d,458,0.316131,0.34609349999999994
195,ES2002c,79,0.373902,0.26415649999999996
196,ES2004d,632,0.028457,0.060951000000000005
197,ES2002a,233,0.459267,0.305485
198,ES2002d,802,0.377592,0.35365499999999994
199,ES2003c,387,0.001167,0.002673
200,ES2003c,1243,0.315752,0.19122550000000002
201,ES2003c,1127,0.038524,0.0569675
202,ES2002b,110,0.157707,0.17268450000000002
203,ES2004b,719,0.018534,0.007886
204,ES2002c,978,0.465873,0.4864055
205,ES2003a,422,0.202086,0.28459599999999996
206,ES2003d,1094,0.437512,0.396018
207,ES2004c,942,0.532558,0.4235785
208,ES2002d,61,0.11837,0.085242
209,ES2004d,509,0.008936,0.005681
210,ES2002d,463,0.139395,0.15287
211,ES2004b,38,0.175851,0.166932
212,ES2002d,914,0.308316,0.3186675
213,ES2003b,549,0.074668,0.113354
214,ES2003d,55,0.012143,0.021806500000000003
215,ES2003c,910,0.311408,0.4746945
216,ES2004c,198,0.017547,0.037478000000000004
217,ES2004a,232,0.039859,0.0398175
218,ES2002c,1109,0.41099,0.4043295
219,ES2003d,893,0.202967,0.2901125
220,ES2002c,958,0.022895,0.0322465
221,ES2003a,379,0.286179,0.051598
222,ES2004b,941,0.470676,0.12581
223,ES2004d,76,0.594285,0.4712795
224,ES2002c,830,0.154059,0.048176500000000004
225,ES2002b,974,0.050308,0.1130245
226,ES2004b,1081,0.500574,0.10394149999999999
227,ES2003c,427,0.188812,0.038995499999999995
228,ES2002c,428,0.002959,0.0042345
229,ES2004c,907,0.63188,0.313164
230,ES2002b,665,0.442891,0.39294049999999997
231,ES2002c,547,0.049498,0.0711435
232,ES2003d,259,0.388046,0.4168545
233,ES2003a,92,0.337988,0.27512949999999997
234,ES2004d,827,0.332297,0.3187475
235,ES2004c,413,0.244311,0.2411455
236,ES2003a,70,0.029227,0.0434405
237,ES2002b,543,0.095897,0.11272099999999999
238,ES2002b,276,0.054169,0.0692395
239,ES2002c,717,0.511822,0.050561999999999996
240,ES2003d,602,0.323097,0.3198295
241,ES2004b,1086,0.538729,0.36862550000000005
242,ES2003d,1076,0.305262,0.016876500000000003
243,ES2004b,611,0.257305,0.070486
244,ES2004d,49,0.030732,0.0477085
245,ES2002c,876,0.323377,0.3042535
246,ES2003a,169,0.111149,0.0254155
247,ES2003a,193,0.256509,0.3205875
248,ES2004b,1185,0.309513,0.29234150000000003
249,ES2004c,1160,0.474203,0.251538
250,ES2002c,698,0.035139,0.08792799999999999
251,ES2002d,539,0.200637,0.2264675
252,ES2004c,135,0.027718,0.0471975
253,ES2002a,264,0.19957,0.24489399999999997
254,ES2003c,56,0.021407,0.033185
255,ES2002b,465,0.159263,0.187833
256,ES2004c,1000,0.203578,0.21718149999999997
257,ES2002d,264,0.070621,0.090104
258,ES2003c,422,0.024719,0.0450635
259,ES2003d,1077,0.387236,0.051249
260,ES2002d,186,0.028056,0.0499425
261,ES2002d,126,0.049813,0.12420400000000001
262,ES2003d,641,0.041056,0.054347
263,ES2003d,727,0.364029,0.38629899999999995
264,ES2003c,342,0.03171,0.025175
265,ES2002b,306,0.020701,0.0257765
266,ES2002d,543,0.186632,0.28678250000000005
267,ES2004a,96,0.531383,0.37131400000000003
268,ES2003a,180,0.289284,0.24818249999999997
269,ES2004b,1076,0.599975,0.021417500000000003
270,ES2002b,735,0.624184,0.25567249999999997
271,ES2004d,131,0.011816,0.0060035
272,ES2003c,753,0.017367,0.0653245
273,ES2002b,802,0.178669,0.163493
274,ES2004d,989,0.127136,0.16856800000000002
275,ES2004b,811,0.348476,0.30773700000000004
276,ES2004b,881,0.292111,0.3522395
277,ES2002b,1022,0.262248,0.3115465
278,ES2002c,64,0.03809,0.0139215
279,ES2004b,183,0.087621,0.0728815
280,ES2004b,678,0.556633,0.06736149999999999
281,ES2002b,797,0.317982,0.07746
282,ES2002a,483,0.04622,0.0682205
283,ES2003a,194,0.140446,0.23750900000000003
284,ES2004b,345,0.688796,0.033156
285,ES2002c,295,0.279116,0.3285465
286,ES2002b,620,0.307317,0.3279015
287,ES2004d,663,0.113698,0.08313050000000001
288,ES2003d,695,0.128622,0.167763
289,ES2003b,1024,0.103707,0.12441250000000001
290,ES2003d,339,0.090796,0.1175825
291,ES2004d,976,0.022746,0.04815849999999999
292,ES2004c,842,0.448112,0.0160405
293,ES2002d,520,0.158424,0.175497
294,ES2002b,1019,0.570178,0.2211305
295,ES2003c,270,0.019417,0.025964499999999995
296,ES2002d,1127,0.210306,0.239049
297,ES2003d,358,0.025808,0.041166999999999995
298,ES2004b,854,0.212387,0.12022300000000001
299,ES2002c,219,0.489602,0.40367650000000005
300,ES2003c,975,0.160728,0.111859
