segment_id,start,end,speaker_id,transcript,asr_confidence
0,4.77,7.98,SPEAKER_02,"My gosh, you've already produced a PowerPoint presentation.",0.5756
1,8.0,9.43,SPEAKER_03,"I think it's already on, actually.",0.8102
2,12.6,16.15,SPEAKER_03,"God, how do I make this thing work?",0.4689
3,39.82,40.84,SPEAKER_03,"Okay, right.",0.5045
4,41.74,50.96,SPEAKER_00,Okay.,0.74
5,53.73,54.29,SPEAKER_03,Right.,0.443
6,55.95,59.34,SPEAKER_03,"Well, this is the kickoff meeting for our project.",0.7289
7,60.0,66.81,SPEAKER_03,And this is just what we're going to be doing over the next 25 minutes.,0.7265
8,68.71,74.55,SPEAKER_03,"So first of all, just to kind of make sure that we all know each other, I'm Laura, and I'm the project manager.",0.7578
9,75.13,77.36,SPEAKER_03,Do you want to introduce yourself again?,0.6903
10,77.56,81.02,SPEAKER_00,"Hi, I'm David, and I'm supposed to be an industrial designer.",0.5912
11,81.04,84.54,SPEAKER_02,"OK. And I'm Andrew, and I'm our marketing",0.6041
12,85.94,88.61,SPEAKER_01,"I'm Greg, and I'm user interface.",0.5912
13,89.35,89.75,SPEAKER_03,Great.,0.828
14,90.11,90.49,SPEAKER_03,OK.,0.779
15,92.88,94.42,SPEAKER_03,So we're designing a new remote control.,0.5997
16,94.46,98.2,SPEAKER_03,"And oh, I have to record who's here, actually.",0.771
17,98.7,104.98,SPEAKER_03,"So that's David, Andrew, and Craig, isn't it?",0.5843
18,105.0,106.28,SPEAKER_03,And you all arrived on time.,0.7417
19,108.69,115.8,SPEAKER_03,"Yeah, so design in your remote control, as you can see, it's supposed to be original, trendy, and user-friendly.",0.6994
20,118.24,119.92,SPEAKER_03,So that's kind of our brief.,0.8243
21,120.83,125.63,SPEAKER_03,And so there are three different stages to the design.,0.7673
22,125.69,131.28,SPEAKER_03,I'm not really sure what you guys have already received in your emails.,0.6802
23,131.32,132.18,SPEAKER_03,What did you get?,0.8387
24,132.48,139.99,SPEAKER_00,I just got the project announcement.,0.8578
