segment_id,start,end,speaker_id,transcript,incongruence_score,confidence_weight,final_score
0,3.0,6.0,SPEAKER_02,"My gosh, you've",0.89279,0.5756,0.51389
1,4.5,7.5,SPEAKER_02,"My gosh, you've already produced a PowerPoint",0.92866,0.5756,0.534537
2,12.0,15.0,SPEAKER_03,"God, how do I make",0.242251,0.4689,0.113591
3,13.5,16.5,SPEAKER_03,do I make this thing work?,0.394836,0.4689,0.185139
4,15.0,18.0,SPEAKER_03,this thing work?,0.23135,0.4689,0.10848
5,54.0,57.0,SPEAKER_03,"Right. Well, this is",0.502323,0.5859,0.294311
6,55.5,58.5,SPEAKER_03,"Well, this is the kickoff meeting for",0.394627,0.7289,0.287643
7,57.0,60.0,SPEAKER_03,the kickoff meeting for our project.,0.02274,0.7289,0.016575
8,58.5,61.5,SPEAKER_03,our project. And this is,0.757493,0.7277,0.551228
9,60.0,63.0,SPEAKER_03,And this is just what we're going,0.892317,0.7265,0.648268
10,61.5,64.5,SPEAKER_03,just what we're going to be doing,0.257741,0.7265,0.187249
11,63.0,66.0,SPEAKER_03,to be doing over the next,0.038595,0.7265,0.02804
12,64.5,67.5,SPEAKER_03,over the next 25 minutes.,0.169054,0.7265,0.122818
13,66.0,69.0,SPEAKER_03,25 minutes. So,0.094131,0.7422,0.069864
14,67.5,70.5,SPEAKER_03,"So first of all, just to kind",0.60301,0.7578,0.456961
15,69.0,72.0,SPEAKER_03,"first of all, just to kind of make sure that we all",0.489553,0.7578,0.370983
16,70.5,73.5,SPEAKER_03,"of make sure that we all know each other, I'm Laura, and",0.263539,0.7578,0.199709
17,72.0,75.0,SPEAKER_03,"know each other, I'm Laura, and I'm the project manager.",0.072329,0.7578,0.054811
18,73.5,76.5,SPEAKER_03,I'm the project manager. Do you want to,0.189267,0.7241,0.137048
19,78.0,81.0,SPEAKER_00,"I'm David, and I'm supposed to be an industrial designer.",0.085331,0.5912,0.050448
20,82.5,85.5,SPEAKER_02,"Andrew, and I'm our marketing",0.232088,0.6041,0.140204
21,85.5,88.5,SPEAKER_01,"I'm Greg, and I'm user interface.",0.078528,0.5912,0.046426
22,91.5,94.5,SPEAKER_03,So we're designing a new remote control.,0.878251,0.6854,0.601953
23,93.0,96.0,SPEAKER_03,"we're designing a new remote control. And oh, I have",0.435861,0.6854,0.298739
24,94.5,97.5,SPEAKER_03,"And oh, I have to record who's",0.088482,0.771,0.068219
25,96.0,99.0,SPEAKER_03,"to record who's here, actually.",0.108691,0.6777,0.07366
26,97.5,100.5,SPEAKER_03,"here, actually. So that's",0.339108,0.6777,0.229813
27,99.0,102.0,SPEAKER_03,"So that's David, Andrew,",0.692987,0.5843,0.404912
28,100.5,103.5,SPEAKER_03,"David, Andrew, and Craig,",0.085364,0.5843,0.049878
29,102.0,105.0,SPEAKER_03,"and Craig, isn't it?",0.513824,0.5843,0.300228
30,103.5,106.5,SPEAKER_03,isn't it? And you all arrived on time.,0.403153,0.663,0.267291
31,105.0,108.0,SPEAKER_03,And you all arrived on time.,0.03937,0.7417,0.0292
