pair_id,actor,gender,statement,intensity,repetition,audio_clip_id,video_clip_id,audio_emotion_4class,video_emotion_4class,label,p_audio_happy,p_audio_angry,p_audio_sad,p_audio_neutral,p_video_happy,p_video_angry,p_video_sad,p_video_neutral,p_text_happy,p_text_angry,p_text_sad,p_text_neutral,jsd_text_audio,jsd_text_video,jsd_audio_video,jsd_composite,gender_female,diff_happy,diff_angry,diff_sad,diff_neutral,jsd_max
01_1_1_1_Aangry_Vangry,1,male,1,1,1,01_05_01_01_01,01_05_01_01_01,angry,angry,0,0.29565629470907184,0.5647413210647997,0.013326695883994124,0.12627568834213435,0.20780825744802803,0.296041742880665,0.23874055475453249,0.2574094449167745,0.004626,0.024107,0.005878,0.965388,0.619549,0.448304,0.141233,0.403029,0,0.08784803726104382,0.2686995781841347,0.22541385887053836,0.13113375657464013,0.619549
01_1_1_1_Aangry_Vcalm,1,male,1,1,1,01_05_01_01_01,01_02_01_01_01,angry,neutral,1,0.29565629470907184,0.5647413210647997,0.013326695883994124,0.12627568834213435,0.25042222736509406,0.2547862066223171,0.22798201017863237,0.2668095558339565,0.004626,0.024107,0.005878,0.965388,0.619549,0.439913,0.146702,0.402055,0,0.04523406734397778,0.3099551144424826,0.21465531429463824,0.14053386749182215,0.619549
01_1_1_1_Aangry_Vdisgust,1,male,1,1,1,01_05_01_01_01,01_07_01_01_01,angry,neutral,1,0.29565629470907184,0.5647413210647997,0.013326695883994124,0.12627568834213435,0.2844072219757956,0.3239190648121998,0.22708508612058104,0.16458862709142363,0.004626,0.024107,0.005878,0.965388,0.619549,0.561554,0.108797,0.429967,0,0.011249072733276244,0.2408222562525999,0.2137583902365869,0.03831293874928929,0.619549
01_1_1_1_Aangry_Vfearful,1,male,1,1,1,01_05_01_01_01,01_06_01_01_01,angry,neutral,1,0.29565629470907184,0.5647413210647997,0.013326695883994124,0.12627568834213435,0.20665071212753758,0.2902555374097414,0.24140495145212532,0.2616887990105958,0.004626,0.024107,0.005878,0.965388,0.619549,0.443816,0.145127,0.402831,0,0.08900558258153426,0.27448578365505827,0.2280782555681312,0.13541311066846143,0.619549
01_1_1_1_Aangry_Vhappy,1,male,1,1,1,01_05_01_01_01,01_03_01_01_01,angry,happy,1,0.29565629470907184,0.5647413210647997,0.013326695883994124,0.12627568834213435,0.37108103556389943,0.24232313363268718,0.19345009705914992,0.19314573374426355,0.004626,0.024107,0.005878,0.965388,0.619549,0.527932,0.123683,0.423721,0,0.07542474085482759,0.3224181874321125,0.1801234011751558,0.06687004540212921,0.619549
01_1_1_1_Aangry_Vneutral,1,male,1,1,1,01_05_01_01_01,01_01_01_01_01,angry,neutral,1,0.29565629470907184,0.5647413210647997,0.013326695883994124,0.12627568834213435,0.21975233478317818,0.26076195823732057,0.23583707812524154,0.2836486288542595,0.004626,0.024107,0.005878,0.965388,0.619549,0.421525,0.154825,0.398633,0,0.07590395992589366,0.3039793628274791,0.22251038224124742,0.15737294051212516,0.619549
01_1_1_1_Aangry_Vsad,1,male,1,1,1,01_05_01_01_01,01_04_01_01_01,angry,sad,1,0.29565629470907184,0.5647413210647997,0.013326695883994124,0.12627568834213435,0.20773206568006433,0.28646752161056926,0.24619309387843544,0.2596073188309311,0.004626,0.024107,0.005878,0.965388,0.619549,0.446261,0.147809,0.40454,0,0.08792422902900751,0.2782737994542304,0.2328663979944413,0.13333163048879673,0.619549
01_1_1_1_Aangry_Vsurprised,1,male,1,1,1,01_05_01_01_01,01_08_01_01_01,angry,neutral,1,0.29565629470907184,0.5647413210647997,0.013326695883994124,0.12627568834213435,0.20691237219424596,0.2878805770032959,0.24036103601805117,0.264846014784407,0.004626,0.024107,0.005878,0.965388,0.619549,0.440459,0.145963,0.40199,0,0.08874392251482588,0.2768607440615038,0.22703434013405704,0.13857032644227266,0.619549
01_1_1_1_Acalm_Vangry,1,male,1,1,1,01_02_01_01_01,01_05_01_01_01,neutral,angry,1,0.4612082629440135,0.17859941340782137,0.06317689918473729,0.29701542446342777,0.20780825744802803,0.296041742880665,0.23874055475453249,0.2574094449167745,0.004626,0.024107,0.005878,0.965388,0.416632,0.448304,0.08635,0.317095,0,0.2534000054959855,0.11744232947284361,0.1755636555697952,0.03960597954665329,0.448304
01_1_1_1_Acalm_Vcalm,1,male,1,1,1,01_02_01_01_01,01_02_01_01_01,neutral,neutral,0,0.4612082629440135,0.17859941340782137,0.06317689918473729,0.29701542446342777,0.25042222736509406,0.2547862066223171,0.22798201017863237,0.2668095558339565,0.004626,0.024107,0.005878,0.965388,0.416632,0.439913,0.064022,0.306855,0,0.21078603557891945,0.07618679321449573,0.16480511099389508,0.030205868629471277,0.439913
01_1_1_1_Acalm_Vdisgust,1,male,1,1,1,01_02_01_01_01,01_07_01_01_01,neutral,neutral,0,0.4612082629440135,0.17859941340782137,0.06317689918473729,0.29701542446342777,0.2844072219757956,0.3239190648121998,0.22708508612058104,0.16458862709142363,0.004626,0.024107,0.005878,0.965388,0.416632,0.561554,0.07997,0.352719,0,0.17680104096821792,0.1453196514043784,0.16390818693584375,0.13242679737200413,0.561554
01_1_1_1_Acalm_Vfearful,1,male,1,1,1,01_02_01_01_01,01_06_01_01_01,neutral,neutral,0,0.4612082629440135,0.17859941340782137,0.06317689918473729,0.29701542446342777,0.20665071212753758,0.2902555374097414,0.24140495145212532,0.2616887990105958,0.004626,0.024107,0.005878,0.965388,0.416632,0.443816,0.08651,0.315652,0,0.2545575508164759,0.11165612400192004,0.17822805226738803,0.035326625452831995,0.443816
