pair_id,actor,gender,statement,intensity,repetition,audio_clip_id,video_clip_id,label,p_audio_happy,p_audio_angry,p_audio_sad,p_audio_neutral,p_video_happy,p_video_angry,p_video_sad,p_video_neutral,p_text_happy,p_text_angry,p_text_sad,p_text_neutral,jsd_text_audio,jsd_text_video,jsd_audio_video,jsd_composite,gender_female,diff_happy,diff_angry,diff_sad,diff_neutral,jsd_max
04_1_1_1_Ahappy_Vhappy,4,female,1,1,1,04_03_01_01_01,04_03_01_01_01,0,0.36376813244115336,0.334062594647817,0.027250660311545463,0.27491861259948425,0.3308611980147616,0.26579760341392833,0.2167290155241302,0.18661218304717986,0.004626,0.024107,0.005878,0.965388,0.433903,0.534812,0.069887,0.346201,1,0.032906934426391754,0.06826499123388868,0.18947835521258474,0.08830642955230439,0.534812
21_1_2_2_Aangry_Vsad,21,male,1,2,2,21_05_02_01_02,21_04_02_01_02,1,0.44264632791665554,0.4813862863476634,0.014521825299429768,0.06144556043625138,0.2925813001619069,0.26590200928404867,0.2528271134652319,0.18868957708881243,0.004626,0.024107,0.005878,0.965388,0.734915,0.531847,0.151307,0.47269,0,0.15006502775474861,0.21548427706361473,0.23830528816580213,0.12724401665256105,0.734915
01_1_2_1_Aangry_Vhappy,1,male,1,2,1,01_05_02_01_01,01_03_02_01_01,1,0.4392844601506046,0.48534813198075977,0.034742399655160267,0.040625008213475346,0.4042910095272537,0.2323022701874262,0.18825764553129465,0.1751490747540254,0.004626,0.024107,0.005878,0.965388,0.776558,0.552241,0.107912,0.478904,0,0.03499345062335091,0.25304586179333355,0.15351524587613438,0.13452406654055007,0.776558
01_2_1_2_Aangry_Vhappy,1,male,2,1,2,01_05_01_02_02,01_03_01_02_02,1,0.36979485667318107,0.4863353557481738,0.021160468073364077,0.12270931950528093,0.3589243552639748,0.2477555572523847,0.19488120083360058,0.1984388866500398,0.008141,0.007626,0.011831,0.972402,0.650616,0.530053,0.093107,0.424592,0,0.010870501409206257,0.2385797984957891,0.1737207327602365,0.07572956714475888,0.650616
07_2_1_2_Acalm_Vhappy,7,male,2,1,2,07_02_01_02_02,07_03_01_02_02,1,0.41045573734577684,0.13604887582842465,0.09861865314206146,0.35487673368373707,0.40567745101610564,0.23228437744162486,0.18893406318151268,0.17310410836075674,0.008141,0.007626,0.011831,0.972402,0.366511,0.563407,0.042631,0.324183,0,0.0047782863296712,0.09623550161320021,0.09031541003945122,0.18177262532298033,0.563407
06_1_2_1_Asad_Vsad,6,female,1,2,1,06_04_02_01_01,06_04_02_01_01,0,0.6748320651263617,0.2028040872292656,0.058205934373092356,0.06415791327128045,0.24802460369505794,0.35070028594745406,0.24540136373893515,0.15587374661855305,0.004626,0.024107,0.005878,0.965388,0.737177,0.572604,0.1474,0.485727,1,0.42680746143130377,0.14789619871818846,0.1871954293658428,0.0917158333472726,0.737177
07_1_2_2_Asad_Vangry,7,male,1,2,2,07_04_02_01_02,07_05_02_01_02,1,0.58329118862516,0.15552323234179885,0.14587710052562042,0.11530847850742067,0.22849701640055886,0.31655793882603067,0.23060164113169712,0.22434340364171354,0.004626,0.024107,0.005878,0.965388,0.646772,0.485458,0.097862,0.410031,0,0.3547941722246012,0.16103470648423182,0.0847245406060767,0.10903492513429287,0.646772
07_2_1_2_Aangry_Vcalm,7,male,2,1,2,07_05_01_02_02,07_02_01_02_02,1,0.18042893669662138,0.7042141848530834,0.009446420533063282,0.10591045791723204,0.2737771255049547,0.24855245458477188,0.21642988262269997,0.26124053728757335,0.008141,0.007626,0.011831,0.972402,0.68503,0.455645,0.19798,0.446218,0,0.09334818880833332,0.4556617302683115,0.2069834620896367,0.15533007937034132,0.68503
16_2_2_2_Ahappy_Vangry,16,female,2,2,2,16_03_02_02_02,16_05_02_02_02,1,0.2907217667847602,0.6361081737911152,0.009368211738129763,0.063801847685995,0.24947383143472923,0.27790114121472465,0.23848901955130117,0.234136007799245,0.008141,0.007626,0.011831,0.972402,0.759816,0.485954,0.18566,0.477143,1,0.04124793535003096,0.3582070325763905,0.2291208078131714,0.17033416011325,0.759816
10_1_2_2_Ahappy_Vcalm,10,female,1,2,2,10_03_02_01_02,10_02_02_01_02,1,0.5493476939500506,0.3146573432301894,0.05467971811552317,0.08131524470423694,0.22970154533200615,0.24664745293867593,0.2743260028103326,0.2493249989189852,0.004626,0.024107,0.005878,0.965388,0.697891,0.459592,0.141736,0.433073,1,0.3196461486180444,0.06800989029151347,0.21964628469480943,0.16800975421474829,0.697891
20_1_1_2_Ahappy_Vhappy,20,female,1,1,2,20_03_01_01_02,20_03_01_01_02,0,0.478774506564376,0.3387199806037139,0.033098914642616176,0.14940659818929397,0.2873102136969295,0.22894743842658172,0.2549519578213635,0.2287903900551252,0.004626,0.024107,0.005878,0.965388,0.588487,0.484349,0.101121,0.391319,1,0.19146429286744648,0.10977254217713217,0.22185304317874732,0.07938379186583122,0.588487
09_2_1_1_Aneutral_Vsad,9,male,2,1,1,09_01_01_02_01,09_04_01_02_01,1,0.4091498848028335,0.013270132189154973,0.13451314971614167,0.44306683329186985,0.19971590714892423,0.2823781175498004,0.30448632625804123,0.21341964904323424,0.008141,0.007626,0.011831,0.972402,0.296956,0.510165,0.189246,0.332122,0,0.20943397765390925,0.26910798536064545,0.16997317654189956,0.22964718424863562,0.510165
18_2_2_2_Acalm_Vhappy,18,female,2,2,2,18_02_02_02_02,18_03_02_02_02,1,0.4424746745262646,0.20698241661757685,0.04981451778938533,0.30072839106677324,0.4117997747903371,0.24809061054035295,0.18321170513685409,0.15689790953245578,0.008141,0.007626,0.011831,0.972402,0.423057,0.585791,0.04761,0.352153,1,0.03067489973592752,0.04110819392277609,0.13339718734746875,0.14383048153431746,0.585791
06_2_2_1_Asad_Vsad,6,female,2,2,1,06_04_02_02_01,06_04_02_02_01,0,0.7660586483021402,0.09345009480501489,0.1101926948977875,0.03029856199505751,0.2362292527562073,0.3593168817596587,0.24620860683679585,0.15824525864733816,0.008141,0.007626,0.011831,0.972402,0.821881,0.582631,0.219961,0.541491,1,0.5298293955459329,0.26586678695464383,0.13601591193900836,0.12794669665228064,0.821881
14_1_1_1_Ahappy_Vhappy,14,female,1,1,1,14_03_01_01_01,14_03_01_01_01,0,0.34784727069433885,0.5870236394252732,0.023309008898271533,0.04182008098211627,0.32279093025460176,0.26316737464038054,0.20569568055933338,0.2083460145456843,0.004626,0.024107,0.005878,0.965388,0.772881,0.507473,0.149763,0.476706,1,0.02505634043973709,0.3238562647848927,0.18238667166106184,0.16652593356356804,0.772881
16_1_2_2_Aangry_Vangry,16,female,1,2,2,16_05_02_01_02,16_05_02_01_02,0,0.059180259736100874,0.9240191074345816,0.0036801486764997844,0.013120484152817705,0.23352590804307188,0.29878611790793536,0.25041626243049037,0.21727171161850237,0.004626,0.024107,0.005878,0.965388,0.852205,0.494584,0.353058,0.566616,1,0.17434564830697102,0.6252329895266462,0.24673611375399057,0.20415122746568465,0.852205
15_1_2_1_Aangry_Vangry,15,male,1,2,1,15_05_02_01_01,15_05_02_01_01,0,0.15226005060216535,0.7912120475968617,0.01111533375353781,0.04541256804743528,0.21710321169949548,0.2656799834364307,0.23931011693202067,0.2779066879320531,0.004626,0.024107,0.005878,0.965388,0.765039,0.427366,0.262125,0.484843,0,0.06484316109733013,0.5255320641604311,0.22819478317848285,0.23249411988461782,0.765039
01_2_1_2_Acalm_Vhappy,1,male,2,1,2,01_02_01_02_02,01_03_01_02_02,1,0.5219343378964294,0.09377834733464015,0.09389551434987378,0.29039180041905654,0.3589243552639748,0.2477555572523847,0.19488120083360058,0.1984388866500398,0.008141,0.007626,0.011831,0.972402,0.432207,0.530053,0.056193,0.339484,0,0.1630099826324546,0.15397720991774455,0.1009856864837268,0.09195291376901674,0.530053
12_2_2_2_Aangry_Vsad,12,female,2,2,2,12_05_02_02_02,12_04_02_02_02,1,0.0978692072804744,0.8803167319466091,0.004632070151701952,0.017181990621214567,0.2097607380582908,0.30082184986543925,0.31462128095455244,0.17479613112171757,0.008141,0.007626,0.011831,0.972402,0.878057,0.559274,0.318555,0.585295,1,0.1118915307778164,0.5794948820811698,0.30998921080285047,0.157614140500503,0.878057
15_2_1_1_Acalm_Vsad,15,male,2,1,1,15_02_01_02_01,15_04_01_02_01,1,0.5257967252205279,0.13678882218375513,0.18770926817273637,0.1497051844229807,0.2270380373461934,0.25561906309854393,0.2326278336341028,0.2847150659211598,0.008141,0.007626,0.011831,0.972402,0.597721,0.430268,0.074268,0.367419,0,0.29875868787433446,0.1188302409147888,0.04491856546136644,0.1350098814981791,0.597721
04_1_2_1_Asad_Vfearful,4,female,1,2,1,04_04_02_01_01,04_06_02_01_01,1,0.33336989561548624,0.5350973726125086,0.03619739102783029,0.095335340744175,0.19896407314768663,0.27714604491996025,0.3295680348621174,0.19432184707023567,0.004626,0.024107,0.005878,0.965388,0.667139,0.524011,0.152601,0.447917,1,0.1344058224677996,0.2579513276925483,0.2933706438342871,0.09898650632606067,0.667139
01_2_1_1_Ahappy_Vangry,1,male,2,1,1,01_03_01_02_01,01_05_01_02_01,1,0.577213146189369,0.1511002736388489,0.052453976370071535,0.2192326038017105,0.22337182469370367,0.2959615649586159,0.2345903679092812,0.24607624243839915,0.008141,0.007626,0.011831,0.972402,0.514517,0.472439,0.121263,0.369406,0,0.3538413214956654,0.14486129131976702,0.18213639153920966,0.02684363863668865,0.514517
10_1_2_2_Asad_Vsad,10,female,1,2,2,10_04_02_01_02,10_04_02_01_02,0,0.5604895582671305,0.049204192563302024,0.3079261280446516,0.0823801211249159,0.22555245154614187,0.25938914556221226,0.24431278652455965,0.27074561636708633,0.004626,0.024107,0.005878,0.965388,0.717937,0.435343,0.150627,0.434636,1,0.33493710672098864,0.21018495299891024,0.06361334152009193,0.18836549524217044,0.717937
